timestamp,x,y,z
117646179002,15,-9.125,12.3125
117646203988,22,-8.3125,12.25
117646217768,30.8125,-7.0625,9.6875
117646238890,31.5,-5.5625,5.875
117646262602,22.75,-3.75,2.875
117646316150,14.6875,-1.6875,0.625
117646316735,8.4375,1.25,-0.3125
117646323244,4.6875,4.125,-2
117646338453,3.75,5.4375,-3.3125
117646359616,4.125,5.5625,-2.8125
117646381553,3.8125,2.875,-0.5625
117646396605,0.375,0.9375,1.375
117646444119,3.6875,-0.0625,2.875
117646444699,11.1875,-0.0625,4.0625
117646456859,16.1875,-0.375,4.25
117646479551,18.4375,-0.25,4.4375
117646495806,12.25,0,4.0625
117646518461,5.25,-0.0625,1.6875
117646540838,4.5,-0.4375,-0.6875
117646555954,5.0625,-0.625,-2.1875
117646584529,0.5,0,-2.3125
117646601039,-3.0625,-0.4375,-3.125
117646615982,-1.375,-1,-3.3125
117646638284,5.125,-0.875,-3.375
117646660817,9.0625,-0.8125,-3.625
117646683303,5.0625,-1.125,-2.9375
117646698333,4.1875,-1.3125,-2.8125
117646720813,5.625,-1.3125,-1.5
117646735134,3.9375,-1.6875,0
117646759763,1.0625,-3,1.1875
117646781016,-0.8125,-3.4375,2
117646795120,1.9375,-3.1875,1.625
117646818358,6.625,-3.125,2
117646840892,4.3125,-2.875,1.875
117646861931,-0.3125,-2.5625,1.3125
117646878266,-0.75,-2.0625,0.5625
117646900812,4.125,-1.6875,0.1875
117646915141,3.1875,-1.625,0.4375
117646938347,-3,-1.3125,0.4375
117646967007,-4.9375,-1.6875,-0.4375
117646975297,-1.875,-1.3125,-0.625
117646998372,0.125,-1.375,-0.0625
117647020938,1.25,-2,-1
117647043211,1.1875,-1.9375,-1.9375
117647058284,0.375,-1.25,-2.375
117647080814,-2.375,-0.9375,-2.6875
117647109337,-6.1875,-1.4375,-3.6875
117647118394,-7.375,-0.9375,-4
117647140970,-6.3125,0.6875,-2.8125
117647161936,-3.8125,1.375,-1.3125
117647178482,-0.5,2.8125,-1.125
117647200906,-0.625,4.6875,-1.875
117647221977,-2.9375,6.5,-3
117647238462,-2.6875,7.125,-3.6875
117647260938,-1.6875,7,-3.5
117647281834,-1.5625,6.25,-2.75
117647298132,-4.625,5.0625,-2.5625
117647320817,-9,4.25,-2.875
117647358832,-8.25,2.875,-2.9375
117647361401,-3.625,1.875,-3.125
117647388316,1.8125,0.9375,-2.8125
117647403304,1.8125,0,-2.375
117647425891,-0.9375,-1.3125,-3.375
117647448352,0.125,-1.375,-3.4375
117647463282,-0.5,-1.9375,-5
117647500843,-2.125,-2.0625,-5.375
117647503161,-1.1875,-2.375,-5.4375
117647546512,1.0625,-2.8125,-5.5625
117647548929,-0.9375,-2.25,-6.3125
117647566807,-1.6875,-1.25,-5.8125
117647590905,0.125,-1.125,-4.625
117647613381,-0.75,-1.25,-3.8125
117647635817,1.3125,-0.5,-3.25
117647643477,3.375,-0.4375,-2.6875
117647665894,2.25,0.0625,-2.1875
117647686834,-3.5,1.0625,-2.5625
117647703276,-6.75,1.75,-2.4375
117647725880,-3.1875,2.4375,-2.125
117647746847,-0.8125,1.8125,-0.875
117647770764,-2.0625,2,-0.6875
117647785822,-8.0625,2.25,-1.375
117647823868,-11.375,2.25,-2.3125
117647826398,-7.625,1.625,-3.75
117647845835,-5.1875,-0.5625,-4.0625
117647867101,-10.75,-4.8125,-3.5
117647882678,-12.625,-16.875,-3.1875
117647905686,-3.625,-37.0625,9.5625
117647928371,22.3125,-41,34.5625
117647949485,51.75,-42.4375,65.25
117647971894,89,-54,83.0625
117647988306,115,-71.625,115.25
117648002661,148.188,-91.0625,165.312
117648025982,189.25,-108.188,213.562
117648048267,213.938,-125.438,248.312
117648062710,229.188,-131.562,272.062
117648085859,238.188,-135.062,289.938
117648108356,248.25,-124.875,300.625
117648129490,223.812,-102.438,317.75
117648145712,199.25,-84.1875,341.188
117648168272,182.938,-65.6875,335.75
117648189370,156.062,-40,311.562
117648205919,127.5,-18.6875,284.125
117648228258,109.562,-1.25,247.062
117648249460,103.125,23.375,203.438
117648265959,85.1875,40.4375,156.062
117648288268,63.0625,48.0625,121.688
117648309690,63,51,111.312
117648325851,40.3125,43.5625,96.0625
117648348243,5.25,33.875,78.4375
117648369311,5.5,24.3125,68.625
117648385778,31.625,19.375,47.5625
117648408281,23.6875,9.5,22.375
117648429443,7.625,-4.9375,1.375
117648445744,-3.5625,-18.8125,-17.4375
117648468297,-16.625,-23.75,-24.6875
117648489335,-28.75,-19.5,-22.625
117648505829,-24.125,-17.5625,-18.1875
117648528282,-4.75,-12.8125,-16.875
117648549317,10.5,-2,-6.875
117648565796,22,6.375,2.5
117648588254,20.375,5.75,3.875
117648609277,3.8125,0.25,1.8125
117648625748,-7.4375,-1.6875,2.25
117648648247,2.8125,1.625,2.875
117648670729,22.5,6.3125,4.5
117648685787,26.625,5.125,7.4375
117648708248,10.625,-0.375,9.125
117648729303,-3,-4,10.375
117648745085,1.5,-4.1875,9.5
117648768292,13.0625,-3.0625,6.3125
117648789364,9.5625,-4.5625,4.3125
117648805760,0,-8.0625,5.0625
117648828242,-2.6875,-5.5625,6.8125
117648849339,3.125,-1.875,8.9375
117648865782,6.375,-0.1875,9.5625
117648888264,3.8125,-1.3125,9.375
117648926286,1.1875,-1.625,8.875
117648928643,2.125,0.25,9.3125
117648948278,7.25,2.875,8.125
117648970733,6.9375,3.375,10.125
117648985821,0.4375,2.5625,11.4375
117649008943,-4.5625,1.25,9.8125
117649030808,-0.9375,2.9375,5.5
117649045752,3.375,4.4375,6.6875
117649068270,2,5.1875,8.875
117649090731,0.3125,5.75,8.75
117649105062,-0.6875,5.625,7.5
117649128274,-1.4375,5.625,7.875
