timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
12900435126,-3,-3,36,-9,-4,-4,-3,-3
12900435126,-3,0,-22,-3,-3,0,-1,-3
12900436676,1,3,8,-17,-4,-2,0,-1
12900436676,-1,0,-3,12,0,0,-2,-1
12900456976,0,-5,-24,5,2,0,1,-1
12900456976,1,19,-8,-16,-2,-1,0,0
12900457713,-1,1,-3,8,-1,-2,-3,-2
12900457713,-1,0,10,-2,0,-1,-1,-1
12900471859,-1,0,-9,-11,-3,-3,1,-1
12900471859,-2,-8,11,3,-4,-2,-1,-3
12900472668,0,-3,-35,-4,1,-2,1,0
12900472668,0,5,34,-3,-3,-3,-3,-3
12900494399,0,-3,-49,10,3,0,-1,-2
12900494399,-2,-4,35,-1,-1,-1,2,-1
12900495183,-2,1,-7,-5,-1,-2,-1,-1
12900495183,-2,-22,-14,-6,0,-1,-1,-1
12900516965,-2,-18,9,-6,-11,-1,-2,-3
12900516965,-7,-15,27,18,-2,-2,-2,0
12900517624,-4,-7,-17,-2,-1,3,0,-1
12900517624,2,14,12,-5,-3,-2,0,2
12900531983,2,-3,-37,0,2,2,-2,2
12900531983,7,9,33,6,2,-1,-2,0
12900532671,-3,12,24,5,1,-4,-2,-1
12900532671,-7,18,-6,10,-2,0,0,-2
12900554489,-6,-11,3,-12,-2,0,-1,-2
12900554489,5,9,-35,0,0,-1,-1,0
12900555153,6,6,7,-6,2,-2,-1,-3
12900555153,-2,-8,21,-4,0,-1,-1,-1
12900576951,-3,8,-17,11,5,1,2,1
12900576951,-3,-7,0,-8,-4,-1,-3,-2
12900577619,-2,-14,7,2,0,-2,-1,-1
12900577619,2,8,5,-2,-3,-1,-3,-3
12900592001,7,2,6,11,-2,-1,-2,0
12900592001,1,0,-9,-7,1,0,-2,1
12900592618,5,59,3,-1,2,1,1,3
12900592618,-3,4,-9,-2,2,-2,1,1
12900614457,0,3,34,13,2,0,2,0
12900614457,2,36,9,-5,-8,-4,-1,-2
12900615133,-1,-9,-15,-18,2,3,0,0
12900615133,-6,-21,-10,-9,-1,-4,-1,-3
12900636843,-4,5,-13,-11,-1,-2,-1,-1
12900636843,-2,-13,-5,20,1,-2,-1,0
12900637653,-2,-12,4,9,-5,-2,-3,-1
12900637653,2,2,12,-13,-4,-2,-1,-1
12900651907,-1,-6,-11,0,-2,-3,-2,-2
12900651907,1,1,-24,-7,-1,0,0,-1
12900652682,-1,-14,15,6,-1,-1,-1,0
12900652682,-2,-11,-15,5,-1,1,-3,-2
12900674484,-2,-1,7,2,-2,-4,-2,-3
12900674484,-5,-16,-5,-14,-1,-1,-1,-1
12900675130,-2,-4,0,4,-1,-1,0,-3
12900675130,0,0,-34,-10,2,1,1,1
12900696894,-1,9,68,18,-5,-4,-4,1
12900696894,0,-9,-38,-17,1,2,0,-1
12900697626,-3,-8,16,4,2,2,1,-1
12900697626,4,2,-9,4,2,0,1,0
12900711917,-4,-6,-3,-18,-4,-2,0,-2
12900711917,-9,-12,-5,-1,-7,-5,-3,-5
12900712638,7,32,8,1,-1,-4,-4,1
12900712638,4,9,13,4,-1,0,-2,1
12900734453,-2,-7,-43,-12,-1,0,-1,-1
12900734453,3,2,48,5,-2,1,-1,-1
12900735107,-5,-13,-24,2,-2,0,-2,-3
12900735107,-4,-2,-3,0,0,0,0,-2
12900756961,-1,5,11,-1,-1,1,0,-1
12900756961,-2,-1,-6,7,0,-1,-3,-3
12900757655,-3,-14,-26,-16,-3,-4,-1,-3
12900757655,-2,-6,33,5,-3,-3,-2,-4
12900771958,-2,-4,-9,-1,0,2,-2,-1
12900771958,-2,-12,-17,0,2,3,0,1
12900772624,-1,8,4,6,3,0,-1,0
12900772624,-4,-12,26,-5,-6,-4,-3,-2
12900794520,1,8,7,3,-3,-3,-1,-1
12900794520,0,-12,-19,-12,-4,-2,-2,-1
12900795217,1,-12,16,2,2,1,-2,0
12900795217,-6,1,-17,6,1,1,1,-1
12900825165,-7,-6,-7,-5,0,0,-1,-3
12900825165,-8,-23,15,10,-5,-7,-5,-6
12900825850,-2,-7,-23,-9,-4,-1,1,1
12900825850,-3,-2,13,-2,-1,0,-2,1
12900831913,3,-7,-19,-8,-2,-3,-1,1
12900831913,-5,9,-12,2,0,-2,-1,-3
12900832607,-1,-8,31,4,3,1,0,0
12900832607,0,5,-21,-1,-1,-1,-2,-1
12900854453,-3,-3,0,-6,-5,-2,0,-1
12900854453,1,-1,8,-4,-2,-1,-3,1
12900855137,0,-3,-8,4,-5,-2,-1,-2
12900855137,-1,-2,-5,-3,-2,-2,-1,-2
12900876943,2,6,6,-1,0,0,-2,0
12900876943,-4,11,4,-4,6,1,1,0
12900877678,-8,-15,2,-2,0,0,-2,-1
12900877678,-3,-2,5,9,-1,-4,-2,-2
12900891952,-2,-2,-3,-7,0,0,-1,-1
12900891952,4,-5,-20,-9,-2,-2,1,2
12900892619,1,-5,7,7,1,-1,-1,-2
12900892619,-2,4,2,-1,-3,0,0,0
12900914418,2,-13,-38,1,-3,-3,-1,-1
12900914418,3,5,4,-6,3,3,0,0
12900915138,5,8,-9,1,-7,-1,0,0
12900915138,-4,9,8,-2,-3,-4,-1,-3
12900937679,-3,-47,-27,-4,-5,-3,-3,-5
