timestamp,x,y,z
117922757961,0.179688,-0.475098,0.854492
117922781073,0.175781,-0.482422,0.853516
117922787404,0.179199,-0.481934,0.85791
117922809951,0.187012,-0.466309,0.855957
117922833637,0.184082,-0.472656,0.854004
117922848660,0.167969,-0.485352,0.85791
117922872700,0.189453,-0.498535,0.862793
117922932671,0.182129,-0.482422,0.863281
117922933525,0.17627,-0.477539,0.865234
117922940679,0.177246,-0.490234,0.871582
117922945555,0.178711,-0.483887,0.867188
117922970467,0.185059,-0.462891,0.865234
117922990045,0.178711,-0.458496,0.855469
117923004963,0.184082,-0.475098,0.862793
117923036023,0.179199,-0.483398,0.852051
117923067441,0.177246,-0.47168,0.86377
117923072859,0.171875,-0.46875,0.849609
117923087863,0.181641,-0.462891,0.847168
117923110387,0.182129,-0.462402,0.848633
117923124728,0.17627,-0.465332,0.853027
117923147177,0.169434,-0.480957,0.852051
117923169840,0.17627,-0.476074,0.856934
117923184824,0.176758,-0.457031,0.847168
117923207266,0.178223,-0.454102,0.841797
117923229738,0.169922,-0.474121,0.850586
117923244735,0.171875,-0.477051,0.856934
117923267200,0.17041,-0.473633,0.864258
117923289743,0.174316,-0.470703,0.861816
117923304755,0.175781,-0.469727,0.861816
117923327301,0.178223,-0.458496,0.847168
117923349711,0.169434,-0.474609,0.858887
117923364841,0.174805,-0.478027,0.861328
117923387223,0.177734,-0.473633,0.857422
117923409792,0.171875,-0.477539,0.85498
117923427612,0.176758,-0.47168,0.852539
117923447209,0.176758,-0.479004,0.857422
117923479992,0.176758,-0.471191,0.854004
117923484857,0.17334,-0.475098,0.863281
117923510092,0.174805,-0.480469,0.851074
117923529738,0.182617,-0.475098,0.85498
117923544711,0.174316,-0.464844,0.855469
117923567238,0.174316,-0.489258,0.856934
117923589874,0.17334,-0.487793,0.859375
117923604739,0.177246,-0.472168,0.855469
117923627240,0.172363,-0.461914,0.855469
117923649722,0.172363,-0.473145,0.852051
117923664690,0.178711,-0.480957,0.849609
117923687233,0.171875,-0.477539,0.855957
117923709737,0.171875,-0.473145,0.848633
117923724875,0.180664,-0.472168,0.838379
117923747184,0.179688,-0.480957,0.843262
117923769841,0.169434,-0.487305,0.853027
117923784841,0.173828,-0.477539,0.847168
117923815568,0.182617,-0.463379,0.843262
117923829864,0.177734,-0.475586,0.851562
117923844711,0.175293,-0.489746,0.858887
117923867197,0.174805,-0.490234,0.85791
117923889707,0.180664,-0.474121,0.856934
117923912296,0.179199,-0.473633,0.849121
117923927313,0.177734,-0.481934,0.855957
117923949755,0.178711,-0.493652,0.869141
117923966151,0.182617,-0.476074,0.863281
117923994696,0.189941,-0.460938,0.847168
117924018517,0.185059,-0.475098,0.860352
117924024780,0.184082,-0.46875,0.858398
117924048636,0.186035,-0.478027,0.856934
117924069795,0.180176,-0.48291,0.861328
117924092240,0.185059,-0.462891,0.850098
117924110162,0.185059,-0.466309,0.852539
117924138627,0.1875,-0.462891,0.851074
117924155125,0.180664,-0.479492,0.843262
117924170197,0.178223,-0.494141,0.853516
117924191176,0.179688,-0.464844,0.830566
117924207669,0.189453,-0.45459,0.828613
117924236179,0.180176,-0.466309,0.845703
117924249689,0.191406,-0.481934,0.844238
117924273721,0.196777,-0.482422,0.848145
117924288634,0.189453,-0.470703,0.848633
117924309709,0.18457,-0.473145,0.848633
117924327607,0.200195,-0.472656,0.851074
117924350564,0.197266,-0.469238,0.852051
117924369683,0.193359,-0.444824,0.829102
117924387562,0.19873,-0.433594,0.815918
117924410139,0.216797,-0.459473,0.805664
117924429697,0.216309,-0.487793,0.788574
117924452183,0.19873,-0.502441,0.769043
117924470250,0.208984,-0.528809,0.760254
117924492666,0.208496,-0.597168,0.79248
117924512275,0.21875,-0.666504,0.869141
117924530104,0.192871,-0.826172,1.0332
117924549646,0.285645,-0.934082,1.26904
117924572205,0.39502,-0.845215,1.52246
117924597232,0.391602,-0.644043,1.646
117924610159,0.384277,-0.529785,1.68408
117924632386,0.428223,-0.740234,1.68555
117924650134,0.328125,-0.838379,1.60986
117924669671,0.243652,-0.709961,1.45703
117924699683,0.218262,-0.521484,1.01562
117924710078,0.220703,-0.615234,0.546387
117924732633,0.119629,-0.913574,0.291016
117924752180,-0.0463867,-1.20508,0.3125
117924770268,-0.191895,-1.31836,0.319824
117924805087,-0.131836,-1.1084,0.312988
117924815222,-0.129883,-0.562988,0.275391
117924838948,-0.249512,-0.225586,0.191895
117924852597,-0.297852,-0.0756836,0.15332
117924876657,-0.411133,0.0737305,0.0292969
117924890993,-0.675781,0.422852,-0.0400391
117924909698,-1.21826,0.692871,-0.241699
117924942679,-1.05957,0.556641,0.210449
117924950118,-0.532227,0.440918,-0.144531
117924978575,-0.163086,0.420898,0.012207
