timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117922934185,0,3,9,-1,1,-1,0,-1
117922934185,-1,-1,-12,2,0,0,1,-1
117922935039,-4,-1,16,-7,-1,-2,-3,-4
117922935039,-1,-5,-21,0,-1,-1,-2,-3
117922939818,-4,2,30,1,1,-1,-1,-1
117922939818,1,-3,-35,2,0,0,-3,-1
117922941325,2,-1,-2,-1,1,-1,-1,-1
117922941325,-9,4,2,0,-3,-1,-2,-1
117922944673,6,4,-2,2,-2,0,-1,0
117922944673,-5,-8,9,-8,-5,-6,-3,-4
117922960526,-5,-10,-7,6,2,0,0,0
117922960526,3,4,-4,-16,-3,0,2,4
117922961308,-4,1,-6,3,-6,-3,-2,-5
117922961308,3,12,23,-3,2,2,0,-2
117922971336,0,-6,-34,-2,-3,-2,-1,2
117922971336,-2,-1,18,-2,-6,-1,-3,-8
117922983503,-1,-6,-46,1,1,-1,-1,1
117922983503,1,2,16,-7,-6,0,0,6
117922999155,0,0,12,2,1,-1,-2,-14
117922999155,-1,-2,-1,6,2,-1,-2,2
117923001334,-4,-5,-3,-7,-1,0,-1,-1
117923001334,3,-2,4,6,-1,-2,0,4
117923020580,1,4,-4,-2,2,1,2,7
117923020580,-6,-1,-7,-4,-2,-4,-5,-27
117923021462,5,2,7,2,1,-1,-2,3
117923021462,-4,-5,-5,-6,-5,-1,3,6
117923068157,2,-3,-41,-1,4,-1,1,4
117923068157,-1,-3,18,4,-2,-3,-5,-7
117923068969,0,-6,-8,-7,-1,-1,0,3
117923068969,0,7,1,2,-1,-1,0,-2
117923069774,-3,-1,10,-2,-1,0,0,-1
117923069774,0,-8,-8,-1,0,0,-2,0
117923073856,1,5,6,4,-2,1,-1,-2
117923073856,0,0,-10,-4,-1,-1,-3,5
117923079683,0,-13,13,1,-1,1,0,0
117923079683,-6,1,-17,-3,-1,-2,-3,-12
117923088639,-2,-3,1,-4,-2,-1,-1,0
117923088639,-2,0,3,7,0,-2,0,1
117923094698,2,4,0,-12,-6,-1,0,2
117923094698,3,1,6,6,2,-1,1,6
117923111144,-4,-7,-31,-5,0,1,-1,0
117923111144,-3,1,8,-3,-2,-2,-1,-14
117923117330,-1,2,6,4,0,-1,0,2
117923117330,-5,-1,2,-1,-1,2,2,-1
117923140505,1,5,6,1,-2,-2,-1,0
117923140505,-1,-6,-3,-1,0,-1,-1,5
117923141130,0,1,-1,2,-2,-1,-2,-5
117923141130,5,3,13,-5,-1,1,0,8
117923155358,-10,-3,-2,2,0,-2,-1,-8
117923155358,-1,-1,-4,-5,-3,2,-1,1
117923156210,0,1,1,0,-1,-1,-2,-2
117923156210,0,3,-5,3,-3,-2,-1,0
117923177823,1,-7,4,-1,1,0,1,4
117923177823,1,2,2,6,0,-2,-1,-1
117923178763,2,7,5,-7,-4,-2,-1,2
117923178763,-6,-21,-1,-1,8,2,1,-2
117923200347,-5,5,-7,-7,-7,-3,-5,-9
117923200347,0,-1,13,3,3,-1,0,0
117923201129,0,1,1,1,-4,-2,-1,-1
117923201129,4,3,-2,-1,-4,-1,0,1
117923215329,4,2,19,1,4,-1,0,4
117923215329,-3,-6,-49,-4,-1,-3,-2,-13
117923216122,-8,-7,-12,-1,0,-3,-1,3
117923216122,-4,1,3,2,-4,-1,-3,-15
117923237855,3,5,16,5,4,-1,1,1
