timestamp,x,y,z
117922757961,-1.1875,-0.875,-0.25
117922781073,-0.25,-1.5,-0.1875
117922787404,1.5,-1.3125,0.125
117922809951,0.875,-0.8125,0.9375
117922833637,0.8125,-0.875,1.6875
117922848660,0,-1.0625,1.6875
117922872700,1.9375,-1.5,1.6875
117922932671,4.25,-1.375,1.5
117922933525,3.6875,-1.4375,1.25
117922940679,4.0625,-1.3125,1.9375
117922945555,5.0625,-1.0625,1.3125
117922970467,4.125,-0.25,1.3125
117922990045,-0.375,0.125,1.5625
117923004963,-3.3125,0.5625,1.4375
117923036023,-1.75,0.6875,1.5625
117923067441,1.5,0.4375,1
117923072859,1.3125,0.5,1.1875
117923087863,0.25,0.75,1.5
117923110387,-0.625,0.625,1.4375
117923124728,-0.75,0.0625,1.5625
117923147177,-0.0625,-0.5625,1.1875
117923169840,3.375,-0.6875,0.625
117923184824,2.5,-0.375,0.5
117923207266,-1.25,-0.75,0.0625
117923229738,-2.75,-0.9375,-0.25
117923244735,-1.125,-0.875,-0.5625
117923267200,1,-0.9375,-1.0625
117923289743,0.5625,-0.8125,-1.4375
117923304755,1.1875,-0.625,-1.25
117923327301,-0.1875,-1.0625,-1.75
117923349711,-1.9375,-0.6875,-1.25
117923364841,-0.375,-0.625,-1.25
117923387223,0.4375,-0.5,-1.3125
117923409792,-0.3125,-0.8125,-1.5625
117923427612,-0.8125,-0.6875,-1.375
117923447209,-0.6875,-0.5,-1.1875
117923479992,0.125,-0.5,-1
117923484857,-0.25,-0.625,-1
117923510092,-0.25,-0.3125,-0.875
117923529738,-0.4375,-0.0625,-1.125
117923544711,-1.125,0.0625,-0.8125
117923567238,-2.625,0,-1.0625
117923589874,0.125,-0.25,-1.25
117923604739,1.625,-0.375,-1.4375
117923627240,-0.0625,0,-1
117923649722,-3.0625,0.125,-0.75
117923664690,-1.9375,0.25,-0.6875
117923687233,0.375,-0.4375,-0.9375
117923709737,0.5,-0.8125,-1.125
117923724875,-1,-0.75,-1.3125
117923747184,-1.4375,-0.875,-1.4375
117923769841,0.875,-1.75,-2
117923784841,2.3125,-1.8125,-2.0625
117923815568,0.75,-1.5625,-1.8125
117923829864,-2.4375,-1.5,-1.5625
117923844711,-2.9375,-1.8125,-1.5625
117923867197,0.8125,-2.0625,-1.8125
117923889707,3.25,-2.1875,-1.6875
117923912296,1.125,-2,-1.75
117923927313,-0.625,-2.0625,-1.75
117923949755,1.0625,-1.8125,-1.375
117923966151,4.375,-2.0625,-1.4375
117923994696,3.8125,-1.375,-1.25
117924018517,1.1875,-1.375,-1.1875
117924024780,-1.125,-0.875,-1.0625
117924048636,-1.9375,-0.75,-1.25
117924069795,0.375,-1.0625,-1.3125
117924092240,1,-0.9375,-1.25
117924110162,-3.0625,-0.8125,-1.625
117924138627,-6,-0.1875,-1.3125
117924155125,-5.0625,-0.625,-1.125
117924170197,-0.125,-1.875,-1.375
117924191176,4.125,-2.3125,-1
117924207669,2.25,-2.125,-1.8125
117924236179,-2.5,-2.6875,-2.25
117924249689,-5.125,-3,-2.5
117924273721,-1.25,-3.375,-3.3125
117924288634,1.375,-4.3125,-3.25
117924309709,-1.4375,-3.9375,-3.4375
117924327607,-1.75,-3.6875,-3.625
117924350564,-0.75,-3.4375,-2.8125
117924369683,-3.5,-3.3125,-2.8125
117924387562,-15.875,-1.875,-3.4375
117924410139,-31.375,-0.6875,-4.6875
117924429697,-37.75,-1.875,-6.375
117924452183,-38.375,-4.625,-9.0625
117924470250,-36.625,-8.375,-12.1875
117924492666,-30.1875,-13.5625,-17.0625
117924512275,-15.25,-18.0625,-20.75
117924530104,12.1875,-24.25,-25
117924549646,46.4375,-25.25,-31.875
117924572205,61.8125,-12.1875,-26.4375
117924597232,41.5625,25.4375,1
117924610159,-9.0625,66.25,42.375
117924632386,-80.25,113.188,79.9375
117924650134,-112.812,148.375,122.875
117924669671,-149.125,160.812,175.188
117924699683,-216.062,170.812,234.25
117924710078,-286.438,199.812,318.688
117924732633,-319.188,220,400.812
117924752180,-265.188,217.188,459.25
117924770268,-137.5,172.938,483.25
117924805087,16.8125,134.812,468.75
117924815222,118,120.062,445.5
117924838948,143.688,116.438,412.688
117924852597,141.938,104.5,392.938
117924876657,144.25,90.1875,383.25
117924890993,120.125,74.8125,366.5
117924909698,86.625,19.375,317
117924942679,46.5,-23.5,200.875
117924950118,48,-79.875,96.625
117924978575,107.812,-95.9375,58.125
117924992183,97.3125,-93.625,74.0625
117925010090,17,-91.875,84.625
117925031132,-14.625,-125.5,72.625
117925052185,-15.375,-163.812,51.9375
117925070105,-14.375,-187.688,33.1875
117925091128,-32.8125,-220.688,9.0625
117925115116,-68.4375,-269.25,-22.1875
117925130131,-105.875,-314.5,-47.4375
117925151164,-142.688,-341.875,-75.25
117925172158,-177.875,-340.938,-79.3125
117925190083,-216.938,-325.875,-97.0625
117925211387,-266.75,-305.438,-128
117925232258,-311.125,-288.562,-171.438
117925250051,-352.375,-273.062,-225.25
117925271170,-347.812,-253.5,-254.875
117925292172,-295.688,-266.625,-259.5
117925310081,-287.562,-277.562,-295.625
117925332561,-345.5,-225.25,-350.312
117925352202,-313.25,-187.688,-345.562
117925369296,-263.5,-167.812,-317.625
117925391773,-268.062,-146.938,-308.938
117925412782,-237.375,-74.5625,-264.188
117925429684,-208.75,-10.5625,-222.188
117925451775,-216.375,12.625,-197.875
117925474236,-196.688,39.8125,-154.188
117925489258,-170.5,83.25,-110.625
117925519257,-163.5,127.375,-79.1875
117925532556,-171.438,160.875,-49.8125
117925557047,-171.25,190.438,-4.8125
117925571733,-164.375,213.625,44.5
117925593118,-170.188,231.375,93.125
117925609288,-175.312,243.562,141.312
117925631732,-161.125,240.938,176.5
117925654706,-116.25,235.25,208.562
117925669270,-65.1875,226.438,236.562
117925691775,-47.875,217.812,262.562
117925720249,-57.5,203,275.75
117925731312,-52.25,195.375,290.125
117925751828,-60.0625,184.5,296.812
117925772880,-71.125,172.5,297
117925789271,-75.875,163.875,301.062
117925817922,-87.5625,156.562,317.625
117925832837,-111,134.5,333.938
117925849985,-135.75,110.875,360.375
117925871784,-150.5,110.125,383.688
117925893708,-135,112.062,387.812
117925909459,-72.75,91.4375,396.562
117925938234,12.375,43.5,410.875
117925952825,65.9375,-14.1875,390.688
117925976764,91.5,-46.3125,372.562
117925991724,98.1875,-80.5625,360.625
117926012801,55.375,-107.688,327.062
117926036785,9.5625,-165.375,311.688
117926051779,-30.375,-213.188,295.375
117926072812,-89.8125,-292.062,250.25
117926089248,-218.125,-336.125,181.188
117926111749,-376.75,-371.438,88.25
117926132834,-479.125,-385.438,-11.0625
117926149257,-469.375,-370,-92.75
117926171878,-401.062,-324.375,-155.375
117926192850,-341.312,-272,-180.688
117926210068,-296.625,-216.625,-205.188
117926231824,-301.125,-181.812,-274.875
117926252819,-320,-170.625,-363
117926268605,-286.312,-180.375,-428.75
117926291766,-267,-200.562,-478.25
117926314252,-270.188,-214.438,-495.375
117926328560,-307.375,-214.062,-468.875
117926351726,-348.875,-137.188,-428.875
117926374270,-363.312,-50.6875,-390.5
117926388635,-324.875,16.0625,-348.5
117926411869,-277.375,79.4375,-269.312
117926434225,-255.188,125.375,-190.25
117926448640,-259,158.625,-131.75
117926471851,-319.25,174,-108.188
117926501806,-311.625,207,-72
117926515338,-172.125,215.688,-17.1875
117926531787,-61.6875,207.125,40.75
117926554266,-92.125,198.562,77.625
117926575423,-161.375,196.5,109.438
117926591718,-188.125,179.75,130.062
117926622242,-178.312,161.438,153.188
117926635375,-122.062,131.688,169.75
117926651743,-53.9375,107.5,172.312
117926674266,-15.875,96.3125,159.562
117926695331,15.9375,78.625,148.438
117926717772,76.875,42.8125,121.938
117926734232,195.125,2.375,95.0625
117926755079,247.812,-8.5,81.375
117926771747,205.5,3.8125,77.25
117926794258,179.188,6.1875,95.8125
117926815395,146.938,1.3125,121.5
117926831473,83,7.5625,134.875
117926854950,20.6875,8.0625,144.812
117926875293,-22.8125,-5.3125,145.312
117926891716,-32.3125,-16.75,121.75
117926914256,3.5625,-33.5,93.5
117926935315,46.1875,-56.125,72.3125
117926951720,64.375,-58.625,51.5
117926974240,51.4375,-51.25,37.3125
117926995313,19.875,-53.3125,33.125
117927012369,-3.3125,-54.625,37.6875
117927034230,-3.3125,-46.1875,36.4375
117927056755,11.125,-32.25,29
117927071907,15.0625,-21.75,27.375
117927094205,13.5,-18.8125,29.5
117927115292,10.9375,-16.375,27.8125
117927131118,2.4375,-7.875,18.625
117927161831,-2,-2.5,11.4375
117927175416,5.9375,-2.3125,6.0625
117927191079,22.0625,-1.6875,1
117927214352,19.75,1.8125,1.375
117927236746,1.875,6.875,1
117927251113,-11.9375,7.6875,1.6875
117927274393,-10.625,6.875,-2.375
117927297203,-3,7,-6.0625
117927311736,0.0625,9.125,-10.6875
117927334225,0.75,6.8125,-9.9375
117927356733,3.875,4.125,-9.4375
117927371211,5.25,5,-9.8125
117927394226,-6.375,7.125,-8.25
117927417213,-17.1875,6.1875,-6.0625
117927431072,-13.875,2.6875,-5.25
117927454254,-5.25,2.3125,-6.75
117927476797,-4.1875,4.8125,-7.6875
117927499230,-15.3125,5.6875,-8.0625
117927514228,-16.4375,3.75,-9
117927536764,-5.3125,1.6875,-8.25
117927551092,-4.625,3.9375,-8.5625
117927580300,-13.625,5.75,-8.5
117927596723,-12.8125,4.625,-7.25
117927611026,-6.875,3.25,-6.5625
117927634194,-4.4375,3.5625,-6.375
117927656699,-3.6875,2.25,-6.125
117927671182,1.75,2.1875,-5.75
117927694197,-0.0625,3.1875,-4
117927716887,-7.625,3.4375,-1.9375
117927737820,-9,0.875,-1.1875
117927754229,1.5,-1.125,-1.5625
117927776840,6.6875,-0.3125,-1.875
117927805284,-1.4375,0.1875,-0.9375
117927814406,-5.6875,-3.3125,0.625
117927844252,1.4375,-4.9375,1
117927859219,5,-4.125,1.1875
117927874358,1.375,-3.125,0.9375
117927896766,1.5625,-3.875,1.1875
117927917515,5.9375,-2.9375,0.1875
117927934170,4.8125,-1.875,0.0625
117927956687,3.9375,-2.0625,-1.1875
117927980649,4.8125,-0.8125,-1.25
117927994240,1.1875,0.9375,-0.375
117928016811,-5,2.0625,1
117928037745,-6.25,1.9375,2.1875
117928054200,-4.25,2.5,1.9375
117928084216,-4.25,3.25,1.6875
117928097776,-5.625,3.625,2.5625
117928114303,-7.6875,4,4.8125
117928136748,-11.4375,4.5625,6.25
117928159208,-20.4375,5.75,3.875
