timestamp,x,y,z,w
117922757961,-0.220398,0.152527,-0.795532,0.543396
117922781073,-0.220581,0.152527,-0.795471,0.543457
117922787404,-0.22052,0.152222,-0.795471,0.543579
117922809951,-0.22052,0.152161,-0.795471,0.543579
117922833637,-0.220459,0.151978,-0.795288,0.543884
117922848660,-0.220398,0.1521,-0.795105,0.544189
117922872700,-0.22052,0.151855,-0.794861,0.544495
117922932671,-0.220215,0.151184,-0.7948,0.544983
117922933525,-0.219849,0.150574,-0.794739,0.545349
117922940679,-0.219543,0.150085,-0.794556,0.545837
117922945555,-0.219116,0.149414,-0.794495,0.546265
117922970467,-0.218567,0.148743,-0.794556,0.546631
117922990045,-0.218445,0.148743,-0.794434,0.546875
117923004963,-0.218628,0.149292,-0.79425,0.546936
117923036023,-0.218689,0.14978,-0.794006,0.547058
117923067441,-0.218323,0.149658,-0.794006,0.547302
117923072859,-0.218018,0.149597,-0.793945,0.547546
117923087863,-0.217834,0.149597,-0.793823,0.547729
117923110387,-0.217712,0.149719,-0.793701,0.547913
117923124728,-0.217651,0.149841,-0.793579,0.548096
117923147177,-0.217651,0.150024,-0.793396,0.54834
117923169840,-0.217407,0.149536,-0.793396,0.548584
117923184824,-0.217102,0.149109,-0.793457,0.548767
117923207266,-0.217285,0.149109,-0.793396,0.548706
117923229738,-0.217651,0.149475,-0.793274,0.548645
117923244735,-0.217773,0.149597,-0.793274,0.548584
117923267200,-0.217712,0.149353,-0.793335,0.548523
117923289743,-0.217712,0.14917,-0.793457,0.548401
117923304755,-0.21759,0.148865,-0.79364,0.54834
117923327301,-0.217773,0.148682,-0.793762,0.548096
117923349711,-0.217957,0.148926,-0.793823,0.547913
117923364841,-0.218018,0.148926,-0.793884,0.547791
117923387223,-0.218018,0.148804,-0.793945,0.547668
117923409792,-0.21814,0.148865,-0.794067,0.547485
117923427612,-0.218262,0.148865,-0.794128,0.547302
117923447209,-0.218384,0.148987,-0.794189,0.54718
117923479992,-0.218384,0.148987,-0.794189,0.54718
117923484857,-0.218384,0.148987,-0.794189,0.54718
117923510092,-0.218384,0.149048,-0.794189,0.54718
